,job_title,company_name,company_page,location,job_type,skills
0,Big Data Engineer,Wakeb Data -,https://wuzzuf.net/jobs/careers/Wakeb-Data-Egypt-44210,"Mohandessin, Giza, Egypt",Full Time / On-site,"['5 - 7 Yrs of Exp', 'IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'Architecture', 'Big Data', 'business', 'Computer Engineering', 'Data Management', 'Information Technology (IT)']"
1,Senior Data Center Engineer - Hyper Converged Implementation,IT Dynamics Integrated Solutions -,https://wuzzuf.net/jobs/careers/IT-Dynamics-Integrated-Solutions-Egypt-22969,"New Cairo, Cairo, Egypt",Full Time / On-site,"['4+ Yrs of Exp', 'IT/Software Development', 'Engineering - Telecom/Technology', 'Data Center', 'hyper converged', 'Vmware', 'Hyper-V', 'DevOps', 'Storage', 'Servers']"
2,Data Engineer,USYTech -,https://wuzzuf.net/jobs/careers/USYTech-Egypt-32533,"Heliopolis, Cairo, Egypt",Full Time / Hybrid,"['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'Computer Science', 'Data', 'Data Analysis', 'Computer Engineering', 'Information Technology (IT)', 'Software Development', 'SQL']"
3,Data Engineer Expert (ETL Informatica Tools),BBI-Consultancy -,https://wuzzuf.net/jobs/careers/BBI-Consultancy-Egypt-1113,"Nasr City, Cairo, Egypt",Full Time / Hybrid,"['5+ Yrs of Exp', 'IT/Software Development', 'Data', 'Engineering', 'Computer Engineering', 'Database', 'Informatica PowerCenter', 'Informatica ETL', 'SQL']"
4,Senior Data Engineer,Nahdet Misr Publishing Group -,https://wuzzuf.net/jobs/careers/Nahdet-Misr-Publishing-Group-Egypt-1272,"Mohandessin, Giza, Egypt",Full Time / Hybrid,"['4 - 6 Yrs of Exp', 'IT/Software Development', 'Analyst/Research', 'AWS', 'Engineering', 'Azure', 'Analysis', 'Cloud Development']"
5,Senior Data Analyst,Goldentex -,https://wuzzuf.net/jobs/careers/Goldentex-Wool-Co--Egypt-41019,"10th of Ramadan City, Sharqia, Egypt",Full Time / On-site,"['2 - 4 Yrs of Exp', 'IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'BI', 'Analysis', 'Computer Science', 'Data Analysis', 'Engineering', 'Information Technology (IT)', 'Power BI']"
6,Senior Data Integration Engineer,e-finance -,https://wuzzuf.net/jobs/careers/e-finance-Egypt-2920,"Smart Village, Giza, Egypt",Full Time / On-site,"['3 - 5 Yrs of Exp', 'IT/Software Development', 'Analyst/Research', 'ETL', 'Integration', 'Data Integration', 'Software Engineering', 'Data Modeling', 'Database', 'Python', 'Software Development']"
7,Data Center Design Leader,Mobi Egypt -,https://wuzzuf.net/jobs/careers/شركة-موبي-ايجيبت-للمشروعات-الهندسيه-Egypt-1152,"Cairo, Egypt",Full Time / On-site,"['5 - 10 Yrs of Exp', 'Engineering - Telecom/Technology', 'Design', 'Data center', 'Information Technology (IT)', 'Computer Science', 'Engineering', 'CDCDP certification', 'DCCA certification', 'Uptime Institute Certified', 'Data Center design']"
8,Informatica PowerCenter Data Integration Developer,BBI-Consultancy -,https://wuzzuf.net/jobs/careers/BBI-Consultancy-Egypt-1113,"Downtown, Cairo, Egypt",Full Time / On-site,"['3 - 4 Yrs of Exp', 'IT/Software Development', 'Database Management', 'Integration', 'SQL', 'Data Warehousing', 'Software Engineering']"
9,"UPS, Power and Data Center Project Manager",Wadi Degla Trading  -,https://wuzzuf.net/jobs/careers/Wadi-Degla-Trading--Egypt-40793,"Cairo, Egypt",Full Time / On-site,"['6+ Yrs of Exp', 'males_only', 'Installation/Maintenance/Repair', 'Project/Program Management', 'Engineering - Mechanical/Electrical', 'CAD', 'Electrical', 'Electrical Engineering', 'Engineering', 'Installation', 'Project Management', 'Project']"
10,Light Current Site Engineer,Confidential -,,"Maadi, Cairo, Egypt",Full Time / On-site,"['2 - 5 Yrs of Exp', 'Installation/Maintenance/Repair', 'Engineering - Telecom/Technology', 'Information technology', 'CCTV', 'Light Current', 'Networking', 'Engineering', 'IT', 'technical', 'Data']"
11,Research And Development Engineer,International Food & Consumable Goods - Egypt S.A.E -,https://wuzzuf.net/jobs/careers/International-Food---Consumable-Goods---Egypt-S-A-E-Egypt-27978,"6th of October, Giza, Egypt",Full Time / On-site,"['3 - 6 Yrs of Exp', 'R&D/Science', 'Operations/Management', 'Manufacturing/Production', 'Research', 'Business Development', 'Research Development', 'Analysis', 'Design', 'Data Analysis', 'R&D']"
12,Machine Learning Engineer,StreetScan -,https://wuzzuf.net/jobs/careers/StreetScan-Canada-104747,"New Cairo, Cairo, Egypt",Full Time / On-site,"['7 - 11 Yrs of Exp', 'IT/Software Development', 'Engineering', 'Deep Learning', 'Computer Science', 'Programming', 'Python', 'TensorFlow', 'PyTorch', 'Data visualization']"
13,Data Analyst,Confidential -,,"Mohandessin, Giza, Egypt",Full Time / Hybrid,"['1 - 2 Yrs of Exp', 'IT/Software Development', 'Engineering - Telecom/Technology', 'Analysis', 'analytical', 'Communication skills', 'Computer Science', 'Data', 'Data Analysis', 'Engineering', 'ETL']"
14,Machine Learning Engineer,WUZZUF -,https://wuzzuf.net/jobs/careers/WUZZUF-Egypt-15061,"Maadi, Cairo, Egypt",Full Time / Hybrid,"['2 - 4 Yrs of Exp', 'IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'Python', 'ElasticSearch', 'Machine Learning', 'Web Development', 'Pandas', 'Information Retrieval', 'Recommender Systems']"
15,Centro Data Program,Centro -,https://wuzzuf.net/jobs/careers/Centro-Global-Solutions-Egypt-2799,"Maadi, Cairo, Egypt",Internship / On-site,"['IT/Software Development', 'analytical', 'Analysis', 'Computer Science', 'Data', 'Data Analysis', 'Engineering', 'Information Systems', 'Information Technology (IT)', 'Software Development']"
16,Graduate Internship: Enterprise Software Engineering,eT3 - Tomorrow Information Technology -,https://wuzzuf.net/jobs/careers/eT3---Tomorrow-Information-Technology-Egypt-5525,"New Cairo, Cairo, Egypt",Hybrid / Internship,"['0 - 1 Yrs of Exp', 'IT/Software Development', 'Engineering - Telecom/Technology', 'Computer Science', 'Software Development', 'Software Engineering', 'Computer Engineering', 'Backend Development', 'Frontend Development', '\uf0a7\tSoftware Testing', 'Data Engineering']"
